t,hr,eda,st
0,67.1,0.185,32.25
1,65.9,0.224,32.16
2,65.8,0.221,32.06
3,67.7,0.177,32.08
4,67.6,0.253,32.09
5,66.6,0.233,32.33
6,68.4,0.21,32.34
7,65.7,0.256,32.14
8,66.2,0.182,32.14
9,69.6,0.188,32.22
10,68.7,0.207,32.21
11,65.8,0.176,32.11
12,68.9,0.213,32.14
13,68.4,0.215,32.14
14,69.5,0.24,32.12
15,68.4,0.223,32.31
16,69.1,0.199,32.34
17,66.1,0.212,32.28
18,66.3,0.219,32.06
19,68.8,0.246,32.22
20,69.9,0.201,32.26
21,68.5,0.228,32.19
22,69.7,0.264,32.19
23,68.8,0.176,32.26
24,68.7,0.269,32.3
25,66.9,0.209,32.25
26,65.6,0.216,32.1
27,66.1,0.176,32.28
28,66.1,0.195,32.17
29,69.9,0.178,32.18
30,68.2,0.258,32.3
31,69.8,0.198,32.17
32,67.3,0.258,32.34
33,66.3,0.188,32.12
34,66.7,0.218,32.23
35,66.8,0.17,32.18
36,67.3,0.227,32.34
37,69.0,0.222,32.24
38,68.9,0.175,32.32
39,69.4,0.257,32.29
40,69.5,0.236,32.2
41,70.7,0.19,32.2
42,68.7,0.206,32.27
43,68.0,0.186,32.23
44,68.5,0.241,32.21
45,72.6,0.282,32.25
46,69.7,0.251,32.32
47,69.4,0.329,32.48
48,71.5,0.287,32.29
49,70.1,0.277,32.35
50,74.2,0.263,32.32
51,75.4,0.326,32.37
52,73.9,0.268,32.49
53,76.7,0.399,32.56
54,73.7,0.344,32.46
55,76.9,0.382,32.64
56,75.4,0.355,32.69
57,79.4,0.46,32.72
58,79.3,0.461,32.62
59,78.5,0.425,32.61
60,76.9,0.432,32.7
61,81.0,0.545,32.79
62,83.0,0.568,32.95
63,81.0,0.479,32.82
64,80.9,0.496,32.95
65,85.3,0.604,32.96
66,84.9,0.617,32.9
67,85.7,0.651,33.11
68,87.0,0.609,33.01
69,88.0,0.607,33.2
70,89.6,0.634,33.14
71,90.3,0.698,33.12
72,86.9,0.635,33.34
73,91.1,0.651,33.35
74,92.6,0.739,33.28
75,91.1,0.68,33.23
76,93.9,0.768,33.38
77,94.3,0.751,33.5
78,94.3,0.733,33.38
79,92.2,0.75,33.48
80,92.5,0.786,33.4
81,96.2,0.787,33.5
82,95.0,0.873,33.51
83,97.0,0.825,33.55
84,95.3,0.764,33.55
85,93.9,0.768,33.65
86,94.0,0.839,33.64
87,96.1,0.822,33.6
88,96.2,0.888,33.5
89,96.3,0.815,33.55
90,107.2,1.102,34.02
91,107.1,1.224,33.98
92,105.9,1.102,34.0
93,106.5,1.086,34.01
94,104.8,1.232,34.07
95,108.0,1.233,33.91
96,105.5,1.233,34.12
97,102.1,0.986,33.98
98,101.6,1.022,33.85
99,106.4,1.185,34.14
100,102.2,1.165,34.06
101,102.1,1.215,34.17
102,102.8,1.236,33.96
103,104.9,1.247,34.12
104,102.3,1.079,34.01
105,103.7,1.009,33.93
106,106.8,0.956,34.02
107,104.5,0.955,33.94
108,106.0,1.104,33.84
109,108.9,1.187,34.17
110,101.8,1.03,33.83
111,107.2,1.031,33.87
112,104.4,1.223,34.11
113,103.1,0.995,34.15
114,105.6,1.16,33.85
115,101.5,1.156,33.97
116,101.6,1.232,34.05
117,107.4,0.975,34.13
118,101.5,1.209,33.98
119,103.7,1.116,34.15
120,103.1,0.989,34.01
121,102.9,0.983,33.88
122,101.4,1.011,33.93
123,103.4,1.178,33.92
124,105.0,1.003,33.94
125,101.1,1.025,33.83
126,106.9,1.115,33.89
127,104.8,1.23,33.86
128,107.6,1.08,34.0
129,107.7,1.068,34.0
130,108.9,1.127,33.86
131,109.5,1.08,33.93
132,107.2,1.017,33.76
133,105.5,0.966,33.94
134,105.7,0.971,33.74
135,108.1,1.073,33.88
136,104.7,0.958,33.75
137,104.9,0.929,33.76
138,103.1,1.04,33.88
139,103.7,0.905,33.84
140,101.6,0.902,33.53
141,100.9,0.898,33.63
142,98.9,0.879,33.44
143,98.1,0.787,33.5
144,95.9,0.75,33.43
145,95.6,0.812,33.44
146,96.9,0.795,33.44
147,96.3,0.724,33.27
148,95.5,0.656,33.33
149,92.5,0.609,33.31
150,92.5,0.673,33.22
